"NCAA","ESPN","ESPN_PBP","Warren_Nolan","Trank","name_247","conference","network_col"
"Oklahoma St.","Oklahoma State","Oklahoma State","Oklahoma State","Oklahoma St.","Oklahoma State","Big 12","orange"
"Old Dominion","Old Dominion","Old Dominion","Old Dominion","Old Dominion","Old Dominion","C-USA","royalblue3"
"Ole Miss","Ole Miss","Ole Miss","Ole Miss","Mississippi","Ole Miss","SEC","firebrick2"
"Omaha","Omaha","Omaha","Nebraska-Omaha","Nebraska Omaha","Nebraska Omaha","Summit","red"
"Oral Roberts","Oral Roberts","Oral Roberts","Oral Roberts","Oral Roberts","Oral Roberts","Summit","gold"
"Oregon","Oregon","Oregon","Oregon","Oregon","Oregon","Pac 12","forestgreen"
"Oregon St.","Oregon State","Oregon State","Oregon State","Oregon St.","Oregon State","Pac 12","orange"
"Pacific","Pacific","Pacific","Pacific","Pacific","Pacific","WCC","orange"
"Penn","Penn","Pennsylvania","Pennsylvania","Penn","Pennsylvania","Ivy","maroon"
"Penn St.","Penn State","Penn State","Penn State","Penn St.","Penn State","Big 10","royalblue3"
"Pepperdine","Pepperdine","Pepperdine","Pepperdine","Pepperdine","Pepperdine","WCC","royalblue3"
"Pittsburgh","Pitt","Pittsburgh","Pittsburgh","Pittsburgh","Pittsburgh","ACC","gold"
"Portland","Portland","Portland","Portland","Portland","Portland","WCC","royalblue2"
"Portland St.","Portland State","Portland State","Portland State","Portland St.","Portland State","Big Sky","forestgreen"
"Prairie View","PV A&M","Prairie View A&M","Prairie View A&M","Prairie View A&M","Prairie View A&M","SWAC","grey"
"Presbyterian","Presbyterian","Presbyterian College","Presbyterian College","Presbyterian","Presbyterian","Big South","blue"
"Princeton","Princeton","Princeton","Princeton","Princeton","Princeton","Ivy","orange"
"Providence","Providence","Providence","Providence","Providence","Providence","Big East","white"
"Purdue","Purdue","Purdue","Purdue","Purdue","Purdue","Big 10","gold"
"Purdue Fort Wayne","Fort Wayne","Fort Wayne","IPFW","Fort Wayne","IPFW","Summit","royalblue1"
"Quinnipiac","Quinnipiac","Quinnipiac","Quinnipiac","Quinnipiac","Quinnipiac","MAAC","gold"
"Radford","Radford","Radford","Radford","Radford","Radford","Big South","red"
"Rhode Island","URI","Rhode Island","Rhode Island","Rhode Island","Rhode Island","A-10","skyblue"
"Rice","Rice","Rice","Rice","Rice","Rice","C-USA","royalblue3"
"Richmond","Richmond","Richmond","Richmond","Richmond","Richmond","A-10","royalblue3"
"Rider","Rider","Rider","Rider","Rider","Rider","MAAC","maroon"
"Robert Morris","Robert Morris","Robert Morris","Robert Morris","Robert Morris","Robert Morris","NEC","royalblue3"
"Rutgers","Rutgers","Rutgers","Rutgers","Rutgers","Rutgers","Big 10","red"
"Sacramento St.","Sacramento St","Sacramento State","Sacramento State","Sacramento St.","Sacramento State","Big Sky","forestgreen"
"Sacred Heart","Sacred Heart","Sacred Heart","Sacred Heart","Sacred Heart","Sacred Heart","NEC","red"
"Saint Francis (PA)","St Francis (PA)","St. Francis (PA)","Saint Francis (PA)","St. Francis PA","Saint Francis (PA)","NEC","red"
"Saint Joseph's","Saint Joe's","Saint Joseph's","Saint Joseph's","Saint Joseph's","Saint Joseph's","A-10","maroon"
"Saint Louis","Saint Louis","Saint Louis","Saint Louis","Saint Louis","Saint Louis","A-10","blue"
"Saint Mary's (CA)","Saint Mary's","Saint Mary's","Saint Mary's College","Saint Mary's","St. Mary's","WCC","royalblue3"
"Saint Peter's","St Peter's","Saint Peter's","Saint Peter's","Saint Peter's","Saint Peter's","MAAC","skyblue"
"Sam Houston St.","Sam Houston","Sam Houston State","Sam Houston State","Sam Houston St.","Sam Houston State","Southland","orange"
"Samford","Samford","Samford","Samford","Samford","Samford","Southern","grey"
"San Diego","San Diego","San Diego","San Diego","San Diego","San Diego","WCC","white"
"San Diego St.","San Diego State","San Diego State","San Diego State","San Diego St.","San Diego State","MWC","red"
"San Francisco","San Francisco","San Francisco","San Francisco","San Francisco","San Francisco","WCC","forestgreen"
"San Jose St.","San Jose State","San Jose State","San Jose State","San Jose St.","San Jose State","MWC","blue"
"Santa Clara","Santa Clara","Santa Clara","Santa Clara","Santa Clara","Santa Clara","WCC","grey"
"Savannah St.","Savannah State","Savannah State","Savannah State","Savannah St.","Savannah State","MEAC","purple"
"Seattle U","Seattle","Seattle","Seattle University","Seattle","Seattle","WAC","red"
"Seton Hall","Seton Hall","Seton Hall","Seton Hall","Seton Hall","Seton Hall","Big East","blue"
"SFA","SF Austin","Stephen F. Austin","Stephen F. Austin","Stephen F. Austin","Stephen F. Austin","Southland","purple"
"Siena","Siena","Siena","Siena","Siena","Siena","MAAC","seagreen"
"SIUE","SIUE","SIU-Edwadsville","SIU Edwardsville","SIU Edwardsville","SIU Edwardsville","OVC","red"
"SMU","SMU","SMU","SMU","SMU","SMU","AAC","red"
"South Alabama","South Alabama","South Alabama","South Alabama","South Alabama","South Alabama","Sunbelt","white"
"South Carolina","South Carolina","South Carolina","South Carolina","South Carolina","South Carolina","SEC","maroon"
"South Carolina St.","S Carolina St","South Carolina State","South Carolina State","South Carolina St.","South Carolina State","MEAC","purple"
"South Dakota","South Dakota","South Dakota","South Dakota","South Dakota","South Dakota","Summit","red"
"South Dakota St.","South Dakota St","South Dakota State","South Dakota State","South Dakota St.","South Dakota State","Summit","blue"
"South Fla.","USF","South Florida","South Florida","South Florida","USF","AAC","forestgreen"
"Southeast Mo. St.","SE Missouri St","Southeast Missouri","Southeast Missouri State","Southeast Missouri St.","Southeast Missouri State","OVC","red"
"Southeastern La.","SE Louisiana","SE Louisiana","Southeastern Louisiana","Southeastern Louisiana","Southeastern Louisiana","Southland","gold"
"Southern California","USC","USC","USC","USC","USC","Pac 12","maroon"
"Southern Ill.","S Illinois","Southern Illinois","Southern Illinois","Southern Illinois","Southern Illinois","MVC","maroon"
"Southern Miss.","Southern Miss","Southern Miss","Southern Miss","Southern Miss","Southern Miss","C-USA","gold"
"Southern U.","Southern","Southern","Southern","Southern","Southern University","SWAC","royalblue1"
"Southern Utah","Southern Utah","Southern Utah","Southern Utah","Southern Utah","Southern Utah","Big Sky","white"
"St. Bonaventure","St Bonaventure","St. Bonaventure","Saint Bonaventure","St. Bonaventure","St. Bonaventure","A-10","maroon"
"St. Francis Brooklyn","St Francis (BKN)","St. Francis (BKN)","Saint Francis (NY)","St. Francis NY","St. Francis (NY)","NEC","red"
"St. John's (NY)","St John's","St. John's","Saint John's","St. John's","St. John's","Big East","red"
"Stanford","Stanford","Stanford","Stanford","Stanford","Stanford","Pac 12","firebrick2"
"Stetson","Stetson","Stetson","Stetson","Stetson","Stetson","A-Sun","seagreen"
"Stony Brook","Stony Brook","Stony Brook","Stony Brook","Stony Brook","Stony Brook","Am. East","red"
"Syracuse","Syracuse","Syracuse","Syracuse","Syracuse","Syracuse","ACC","orange"
"TCU","TCU","TCU","TCU","TCU","TCU","Big 12","purple"
"Temple","Temple","Temple","Temple","Temple","Temple","AAC","maroon"
"Tennessee","Tennessee","Tennessee","Tennessee","Tennessee","Tennessee","SEC","orange"
"Tennessee St.","Tennessee St","Tennessee St","Tennessee State","Tennessee St.","Tennessee State","OVC","orange"
